Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
45,41,76,2017-04-18 16:10:24,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:24,L,R,td,ndom,dom,ndom,TD1
44,74,66,2017-04-18 16:10:25,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:25,L,R,td,ndom,dom,ndom,TD1
67,68,50,2017-04-18 16:10:26,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:26,L,R,td,ndom,dom,ndom,TD1
44,69,75,2017-04-18 16:10:27,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:27,L,R,td,ndom,dom,ndom,TD1
83,20,81,2017-04-18 16:10:28,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:28,L,R,td,ndom,dom,ndom,TD1
86,61,68,2017-04-18 16:10:29,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:29,L,R,td,ndom,dom,ndom,TD1
113,87,78,2017-04-18 16:10:30,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:30,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:10:31,L,R,td,ndom,dom,ndom,TD1
126,71,63,2017-04-18 16:10:31,R,R,td,dom,dom,dom,TD1
54,50,80,2017-04-18 16:10:32,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:32,L,R,td,ndom,dom,ndom,TD1
63,110,79,2017-04-18 16:10:33,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:33,L,R,td,ndom,dom,ndom,TD1
0,0,0,2017-04-18 16:10:34,L,R,td,ndom,dom,ndom,TD1
105,84,61,2017-04-18 16:10:34,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:35,L,R,td,ndom,dom,ndom,TD1
80,60,81,2017-04-18 16:10:35,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:36,L,R,td,ndom,dom,ndom,TD1
84,57,103,2017-04-18 16:10:36,R,R,td,dom,dom,dom,TD1
0,0,0,2017-04-18 16:10:37,L,R,td,ndom,dom,ndom,TD1
101,70,99,2017-04-18 16:10:37,R,R,td,dom,dom,dom,TD1
